Start Time (UTC),End Time (UTC),Condition,Asset,Duration (s)
2026-05-05T11:42:12.083Z,2026-05-05T12:41:25.733Z,DIRECTSUN,Satellite,3553.65
2026-05-05T12:41:25.733Z,2026-05-05T13:16:15.906Z,UMBRA,Satellite,2090.173
2026-05-05T13:16:15.906Z,2026-05-05T14:16:13.205Z,DIRECTSUN,Satellite,3597.299
2026-05-05T14:16:13.205Z,2026-05-05T14:51:03.332Z,UMBRA,Satellite,2090.127
2026-05-05T14:51:03.332Z,2026-05-05T15:51:00.452Z,DIRECTSUN,Satellite,3597.12
2026-05-05T15:51:00.452Z,2026-05-05T16:25:50.622Z,UMBRA,Satellite,2090.17
2026-05-05T16:25:50.622Z,2026-05-05T17:25:47.845Z,DIRECTSUN,Satellite,3597.223
2026-05-05T17:25:47.845Z,2026-05-05T18:00:38.080Z,UMBRA,Satellite,2090.235
2026-05-05T18:00:38.080Z,2026-05-05T19:00:35.232Z,DIRECTSUN,Satellite,3597.152
2026-05-05T19:00:35.232Z,2026-05-05T19:35:25.489Z,UMBRA,Satellite,2090.257
2026-05-05T19:35:25.489Z,2026-05-05T20:35:22.493Z,DIRECTSUN,Satellite,3597.004
2026-05-05T20:35:22.493Z,2026-05-05T21:10:12.719Z,UMBRA,Satellite,2090.226
2026-05-05T21:10:12.719Z,2026-05-05T22:10:09.866Z,DIRECTSUN,Satellite,3597.147
2026-05-05T22:10:09.866Z,2026-05-05T22:45:00.112Z,UMBRA,Satellite,2090.246
2026-05-05T22:45:00.112Z,2026-05-05T23:44:57.079Z,DIRECTSUN,Satellite,3596.967
2026-05-05T23:44:57.079Z,2026-05-06T00:19:47.327Z,UMBRA,Satellite,2090.248
2026-05-06T00:19:47.327Z,2026-05-06T01:19:44.261Z,DIRECTSUN,Satellite,3596.934
2026-05-06T01:19:44.261Z,2026-05-06T01:54:34.466Z,UMBRA,Satellite,2090.205
2026-05-06T01:54:34.466Z,2026-05-06T02:54:31.654Z,DIRECTSUN,Satellite,3597.188
2026-05-06T02:54:31.654Z,2026-05-06T03:29:21.826Z,UMBRA,Satellite,2090.172
2026-05-06T03:29:21.826Z,2026-05-06T04:29:18.978Z,DIRECTSUN,Satellite,3597.152
2026-05-06T04:29:18.978Z,2026-05-06T05:04:09.187Z,UMBRA,Satellite,2090.209
2026-05-06T05:04:09.187Z,2026-05-06T06:04:06.427Z,DIRECTSUN,Satellite,3597.24
2026-05-06T06:04:06.427Z,2026-05-06T06:38:56.648Z,UMBRA,Satellite,2090.221
2026-05-06T06:38:56.648Z,2026-05-06T07:38:53.773Z,DIRECTSUN,Satellite,3597.125
2026-05-06T07:38:53.773Z,2026-05-06T08:13:43.968Z,UMBRA,Satellite,2090.195
2026-05-06T08:13:43.968Z,2026-05-06T09:13:40.899Z,DIRECTSUN,Satellite,3596.931
2026-05-06T09:13:40.899Z,2026-05-06T09:48:31.084Z,UMBRA,Satellite,2090.185
2026-05-06T09:48:31.084Z,2026-05-06T10:48:28.103Z,DIRECTSUN,Satellite,3597.019
2026-05-06T10:48:28.103Z,2026-05-06T11:23:18.330Z,UMBRA,Satellite,2090.227
2026-05-06T11:23:18.330Z,2026-05-06T12:23:15.276Z,DIRECTSUN,Satellite,3596.946
2026-05-06T12:23:15.276Z,2026-05-06T12:58:05.489Z,UMBRA,Satellite,2090.213
2026-05-06T12:58:05.489Z,2026-05-06T13:58:02.500Z,DIRECTSUN,Satellite,3597.011
2026-05-06T13:58:02.500Z,2026-05-06T14:32:52.665Z,UMBRA,Satellite,2090.165
2026-05-06T14:32:52.665Z,2026-05-06T15:32:49.889Z,DIRECTSUN,Satellite,3597.224
2026-05-06T15:32:49.889Z,2026-05-06T16:07:40.109Z,UMBRA,Satellite,2090.22
2026-05-06T16:07:40.109Z,2026-05-06T17:07:37.139Z,DIRECTSUN,Satellite,3597.03
2026-05-06T17:07:37.139Z,2026-05-06T17:42:27.409Z,UMBRA,Satellite,2090.27
2026-05-06T17:42:27.409Z,2026-05-06T18:42:24.425Z,DIRECTSUN,Satellite,3597.016
2026-05-06T18:42:24.425Z,2026-05-06T19:17:14.725Z,UMBRA,Satellite,2090.3
2026-05-06T19:17:14.725Z,2026-05-06T20:17:11.813Z,DIRECTSUN,Satellite,3597.088
2026-05-06T20:17:11.813Z,2026-05-06T20:52:02.074Z,UMBRA,Satellite,2090.261
2026-05-06T20:52:02.074Z,2026-05-06T21:51:58.942Z,DIRECTSUN,Satellite,3596.868
2026-05-06T21:51:58.942Z,2026-05-06T22:26:49.240Z,UMBRA,Satellite,2090.298
2026-05-06T22:26:49.240Z,2026-05-06T23:26:46.164Z,DIRECTSUN,Satellite,3596.924
2026-05-06T23:26:46.164Z,2026-05-07T00:01:36.468Z,UMBRA,Satellite,2090.304
2026-05-07T00:01:36.468Z,2026-05-07T01:01:33.399Z,DIRECTSUN,Satellite,3596.931
2026-05-07T01:01:33.399Z,2026-05-07T01:36:23.630Z,UMBRA,Satellite,2090.231
2026-05-07T01:36:23.630Z,2026-05-07T02:36:20.507Z,DIRECTSUN,Satellite,3596.877
2026-05-07T02:36:20.507Z,2026-05-07T03:11:10.741Z,UMBRA,Satellite,2090.234
