Start Time (UTC),End Time (UTC),Condition,Asset,Duration (s)
2026-05-05T12:20:42.709Z,2026-05-05T12:28:53.865Z,COMMS,IS-01,491.156
2026-05-05T14:59:20.244Z,2026-05-05T15:07:33.334Z,COMMS,CL-01,493.09
2026-05-05T15:04:25.361Z,2026-05-05T15:12:57.635Z,COMMS,CL-02,512.274
2026-05-05T16:32:55.262Z,2026-05-05T16:42:03.514Z,COMMS,CL-01,548.252
2026-05-05T16:38:42.207Z,2026-05-05T16:45:52.115Z,COMMS,CL-02,429.908
2026-05-05T17:29:00.984Z,2026-05-05T17:40:29.209Z,COMMS,Hyd,688.225
2026-05-05T17:30:08.838Z,2026-05-05T17:41:37.414Z,COMMS,Chanakya,688.576
2026-05-05T17:31:22.719Z,2026-05-05T17:40:30.850Z,COMMS,Bangalore,548.131
2026-05-05T18:08:37.484Z,2026-05-05T18:12:09.799Z,COMMS,CL-01,212.315
2026-05-05T18:53:59.512Z,2026-05-05T18:58:27.988Z,COMMS,Lulea,268.476
2026-05-05T19:05:58.225Z,2026-05-05T19:10:04.961Z,COMMS,Hyd,246.736
2026-05-05T19:08:05.619Z,2026-05-05T19:10:17.424Z,COMMS,Chanakya,131.805
2026-05-05T19:20:06.639Z,2026-05-05T19:24:12.586Z,COMMS,ZA-01,245.947
2026-05-05T20:26:42.697Z,2026-05-05T20:36:53.918Z,COMMS,Lulea,611.221
2026-05-05T20:51:04.662Z,2026-05-05T21:00:01.650Z,COMMS,ZA-01,536.988
2026-05-05T22:00:32.820Z,2026-05-05T22:12:09.377Z,COMMS,Lulea,696.557
2026-05-05T22:55:15.459Z,2026-05-05T23:03:01.187Z,COMMS,NZ-01,465.728
2026-05-05T23:34:31.539Z,2026-05-05T23:45:28.357Z,COMMS,Lulea,656.818
2026-05-05T23:37:18.043Z,2026-05-05T23:45:24.104Z,COMMS,IS-01,486.061
2026-05-06T00:28:38.432Z,2026-05-06T00:37:37.264Z,COMMS,NZ-01,538.832
2026-05-06T01:08:19.721Z,2026-05-06T01:17:26.666Z,COMMS,Lulea,546.945
2026-05-06T01:11:02.654Z,2026-05-06T01:20:19.164Z,COMMS,IS-01,556.51
2026-05-06T01:41:53.463Z,2026-05-06T01:45:09.449Z,COMMS,CL-02,195.986
2026-05-06T01:44:01.646Z,2026-05-06T01:52:21.311Z,COMMS,CL-01,499.665
2026-05-06T02:41:29.342Z,2026-05-06T02:49:00.777Z,COMMS,Lulea,451.435
2026-05-06T02:45:08.064Z,2026-05-06T02:53:09.846Z,COMMS,IS-01,481.782
2026-05-06T03:12:10.162Z,2026-05-06T03:21:24.760Z,COMMS,CL-02,554.598
2026-05-06T03:17:22.273Z,2026-05-06T03:26:26.074Z,COMMS,CL-01,543.801
2026-05-06T03:57:55.945Z,2026-05-06T04:02:42.172Z,COMMS,Chanakya,286.227
2026-05-06T03:58:14.736Z,2026-05-06T04:04:35.611Z,COMMS,Hyd,380.875
2026-05-06T04:13:30.830Z,2026-05-06T04:21:25.574Z,COMMS,Lulea,474.744
2026-05-06T04:19:15.668Z,2026-05-06T04:24:33.225Z,COMMS,IS-01,317.557
2026-05-06T05:27:54.615Z,2026-05-06T05:39:26.006Z,COMMS,Chanakya,691.391
2026-05-06T05:29:02.531Z,2026-05-06T05:38:13.539Z,COMMS,Bangalore,551.008
2026-05-06T05:29:02.816Z,2026-05-06T05:40:30.436Z,COMMS,Hyd,687.62
2026-05-06T05:45:04.162Z,2026-05-06T05:54:52.562Z,COMMS,Lulea,588.4
2026-05-06T05:52:47.557Z,2026-05-06T05:55:39.213Z,COMMS,IS-01,171.656
2026-05-06T07:17:24.275Z,2026-05-06T07:28:46.693Z,COMMS,Lulea,682.418
2026-05-06T07:24:09.443Z,2026-05-06T07:28:49.607Z,COMMS,IS-01,280.164
2026-05-06T08:28:56.742Z,2026-05-06T08:37:37.436Z,COMMS,ZA-01,520.694
2026-05-06T08:51:17.576Z,2026-05-06T09:02:44.949Z,COMMS,Lulea,687.373
2026-05-06T08:55:20.324Z,2026-05-06T09:02:55.137Z,COMMS,IS-01,454.813
2026-05-06T09:37:25.867Z,2026-05-06T09:44:06.705Z,COMMS,NZ-01,400.838
2026-05-06T10:03:51.346Z,2026-05-06T10:09:41.641Z,COMMS,ZA-01,350.295
2026-05-06T10:27:20.922Z,2026-05-06T10:36:25.812Z,COMMS,Lulea,544.89
2026-05-06T10:27:49.512Z,2026-05-06T10:37:02.236Z,COMMS,IS-01,552.724
2026-05-06T11:09:32.330Z,2026-05-06T11:18:49.873Z,COMMS,NZ-01,557.543
2026-05-06T12:02:14.766Z,2026-05-06T12:10:53.740Z,COMMS,IS-01,518.974
