Energy_Wh,raw_voltage_mean,isotonic_voltage
0.0,33.066,33.066
0.241714,32.996,32.996
0.48254,32.956,32.976000000000006
0.717353,32.946,32.976000000000006
0.956406,32.916,32.976000000000006
1.198633,33.066,32.976000000000006
1.440347,32.996,32.976000000000006
1.681173,32.956,32.956
1.915986,32.946,32.946
2.155039,32.916,32.916
2.390083,32.895,32.895
2.627578,32.865,32.865
2.864856,32.835,32.835
3.101689,32.815,32.817
3.338679,32.795,32.817
3.574932,32.775,32.817
3.812427,32.865,32.817
4.049706,32.835,32.817
4.286539,32.815,32.815
4.523528,32.795,32.795
4.759781,32.775,32.775
4.99589,32.755,32.755
5.231336,32.745,32.745
5.471509,32.705,32.7168
5.706667,32.705,32.7168
5.946022,32.674,32.7168
6.182131,32.755,32.7168
6.417577,32.745,32.7168
6.65775,32.705,32.705
6.892908,32.705,32.705
7.132263,32.674,32.674
7.366907,32.674,32.674
7.606043,32.644,32.649
7.840834,32.654,32.649
8.075482,32.634,32.634
8.309397,32.614,32.629999999999995
8.543539,32.604,32.629999999999995
8.782674,32.644,32.629999999999995
9.017465,32.654,32.629999999999995
9.252113,32.634,32.629999999999995
9.486028,32.614,32.614
9.72017,32.604,32.604
9.954312,32.604,32.604
10.1886,32.584,32.584
10.42421,32.564,32.57
10.65828,32.554,32.57
10.89228,32.544,32.57
11.12642,32.604,32.57
11.36071,32.584,32.57
11.59632,32.564,32.564
11.83039,32.554,32.554
12.06439,32.544,32.544
12.29832,32.534,32.534
12.53189,32.524,32.524
12.76539,32.514,32.514
12.9991,32.504,32.504000000000005
13.23274,32.494,32.504000000000005
13.46602,32.484,32.504000000000005
13.69959,32.524,32.504000000000005
13.93308,32.514,32.504000000000005
14.1668,32.504,32.504
14.40044,32.494,32.494
14.63372,32.484,32.484
14.87087,32.454,32.459
15.10371,32.464,32.459
15.33648,32.454,32.454
15.57312,32.423,32.4456
15.80574,32.433,32.4456
16.0429,32.454,32.4456
16.27574,32.464,32.4456
16.5085,32.454,32.4456
16.74515,32.423,32.428
16.97776,32.433,32.428
17.21031,32.423,32.423
17.4422,32.413,32.413
17.6746,32.403,32.403
17.91205,32.373,32.388999999999996
18.14519,32.383,32.388999999999996
18.37796,32.373,32.388999999999996
18.60984,32.413,32.388999999999996
18.84225,32.403,32.388999999999996
19.07969,32.373,32.378
19.31283,32.383,32.378
19.5456,32.373,32.373
19.7783,32.363,32.363
20.01123,32.353,32.353
20.24378,32.343,32.34300000000001
20.47598,32.333,32.34300000000001
20.70897,32.323,32.34300000000001
20.94167,32.363,32.34300000000001
21.17459,32.353,32.34300000000001
21.40715,32.343,32.34300000000001
21.63934,32.333,32.333
21.87234,32.323,32.323
22.10498,32.313,32.313
22.33724,32.303,32.303
22.56915,32.293,32.293
22.80128,32.283,32.287
23.03311,32.283,32.287
23.26458,32.273,32.287
23.49685,32.303,32.287
23.72876,32.293,32.287
23.96088,32.283,32.283
24.19272,32.283,32.283
24.42419,32.273,32.273
24.65588,32.263,32.263
24.88728,32.263,32.263
25.1189,32.253,32.253
25.35045,32.243,32.251
25.58134,32.233,32.251
25.81304,32.263,32.251
26.04443,32.263,32.251
26.27606,32.253,32.251
26.50761,32.243,32.243
26.7385,32.233,32.233
26.96933,32.223,32.223
27.20015,32.223,32.223
27.43453,32.192,32.1982
27.6652,32.202,32.1982
27.89551,32.192,32.1982
28.12604,32.182,32.1982
28.35686,32.223,32.1982
28.59124,32.192,32.197
28.82191,32.202,32.197
29.05222,32.192,32.192
29.28275,32.182,32.182
29.51291,32.172,32.172
29.74337,32.172,32.172
29.97318,32.162,32.162
30.20747,32.142,32.160000000000004
30.43749,32.152,32.160000000000004
30.66766,32.172,32.160000000000004
30.89812,32.172,32.160000000000004
31.12792,32.162,32.160000000000004
31.36222,32.142,32.147000000000006
31.59224,32.152,32.147000000000006
31.82219,32.142,32.142
32.05156,32.142,32.142
32.28108,32.122,32.122
32.51031,32.122,32.122
32.73976,32.112,32.122
32.96862,32.112,32.122
33.19799,32.142,32.122
33.42751,32.122,32.122
33.65674,32.122,32.122
33.88619,32.112,32.112
34.11506,32.112,32.112
34.34444,32.102,32.102
34.57345,32.092,32.092
34.80304,32.092,32.092
35.03589,32.062,32.084
35.26476,32.072,32.084
35.49414,32.102,32.084
35.72315,32.092,32.084
35.95274,32.092,32.084
36.18559,32.062,32.067
36.41446,32.072,32.067
36.64326,32.062,32.062
36.87625,32.042,32.047
37.1044,32.052,32.047
37.33392,32.042,32.042
37.56511,32.032,32.038
37.79651,32.022,32.038
38.0295,32.042,32.038
38.25765,32.052,32.038
38.48717,32.042,32.038
38.71836,32.032,32.032
38.94976,32.022,32.022
39.17972,32.022,32.022
39.4138,31.992,31.998666666666672
39.6439,32.002,31.998666666666672
39.87372,32.002,31.998666666666672
40.10375,31.992,31.998666666666672
40.33515,31.982,31.998666666666672
40.56511,32.022,31.998666666666672
40.79919,31.992,31.998666666666672
41.02929,32.002,31.998666666666672
41.25911,32.002,31.998666666666672
41.48914,31.992,31.992
41.72054,31.982,31.982
41.95128,31.971,31.971
42.18058,31.971,31.971
42.41378,31.951,31.958999999999996
42.64719,31.941,31.958999999999996
42.87614,31.961,31.958999999999996
43.10688,31.971,31.958999999999996
43.33618,31.971,31.958999999999996
43.56938,31.951,31.951000000000004
43.80279,31.941,31.951000000000004
44.03174,31.961,31.951000000000004
44.26313,31.941,31.941
44.49309,31.941,31.941
44.72218,31.941,31.941
44.95119,31.931,31.931
45.18101,31.921,31.929000000000002
45.41103,31.911,31.929000000000002
45.64099,31.941,31.929000000000002
45.87008,31.941,31.929000000000002
46.09909,31.931,31.929000000000002
46.32891,31.921,31.921
46.55893,31.911,31.911
46.78896,31.911,31.911
47.02287,31.891,31.896
47.25311,31.901,31.896
47.48327,31.891,31.895
47.7128,31.881,31.895
